id,artisanName,address,city,phone,email,website,category,region,county
131,Flash Point Sauces,7901 Bonaventure Dr,Wilmington,910-795-4800,chad@fpsauces.com,http://www.flashpointsauces.com/,Condiments,Tidewater,New Hanover
132,Farm 430,430 Hoover Rd,Troutman,704-491-5415,alison@farm430.com,http://www.farm430.com/,Produce,Piedmont,Iredell
133,CCK Salsa,918 Shellbrook Ct #7,Raleigh,919-601-1929,ccksalsa@yahoo.com,,Condiments,Piedmont,Wake
134,350 Cheese Straws,110 Ann St,Beaufort,252-728-3735,info@350cheesestraw.com,https://www.350cheesestraw.com,Snacks,Tidewater,Carteret
135,Anna's Gourmet Goodies,14460 New Fals of Neuse Rd,Raleigh,919-570-2035,info@annasgourmetgoodies.com,https://www.annasgourmetgoodies.com,Sweets,Piedmont,Wake
136,Apple Baking Company,380 Apple Rd,Salisbury,704-637-6800,jeff@applebaking.com,https://www.applebaking.com,Sweets,Piedmont,Rowan
137,Forever Sweets Bakery,94 Jonquil Ln,Willow Spring,919-639-2580,donnieeh@aol.com,,Bakery,Coastal Plains,Johnston
138,Homecoming Pound Cakes,904 Irving Ave,Eden,336-432-7400,geaves@capellauniversity.edu,http://www.homecomingpoundcakes.webs.com,Sweets,Piedmont,Rockingham
139,Joan's Sourdough Bread,3705 Chetola Dr,Lenoir,828-757-9080,sourdoughlady@bellsouth.net,https://www.sourdoughlady.com,Bakery,Mountains,Caldwell
140,Kalo Foods,119 Carlton Park Dr,Stokesdale,336-949-4802,mcusato@kalofoods.com,https://www.kalofoods.com,Gluten-Free,Piedmont,Rockingham
141,Justus Orchard,187 Garren Rd,Hendersonville,828-685-8033,mdjustus@yahoo.com,https://www.justusorchard.com,Bakery,Mountains,Henderson
142,Mimi's Mountain Mixes,27 Capri Ln #15,Hendersonville,937-380-5600,info@mimismountainmixes.com,https://mimismountainmixes.com/,Bakery,Mountains,Henderson
143,Miss Angels Heavenly Pies,153 N Main St,Mount Airy,336-786-1537,purdieladies143@aol.com,https://www.missangelsheavenlypiesinc.com,Sweets,Mountains,Surry
144,Pamlico Pecans & Custom Shelling,1572 Burbage Rd,Bath,252-945-8906,garyburbage@gotricounty.com,,Snacks,Tidewater,Beaufort
145,Royal Cheesecake & Varieties,902 Fayetteville St Ste 203,Durham,919-670-8766,rcv@rcvcakes.com,https://www.rcvcakes.com,Sweets,Piedmont,Durham
146,Chocolate Smiles,312 W Chatham St,Cary,919-469-5282,mail@chocolatesmilesshop.com,https://www.chocolatesmilesshop.com,Sweets,Piedmont,Wake
147,Goodness Gracie Inc.,,Wilmington,910-815-0202,gracie@goodnessgracie.com,https://www.goodnessgracie.com,Snacks,Tidewater,New Hanover
148,Holm-Made Cookies,4313 Forest Dr,Holly Springs,919-357-2439,loni@holmmadecookies.com,,Bakery,Piedmont,Wake
149,Immaculate Baking Company,PO Box 299,Flat Rock,828-696-1655,info@immaculatebaking.com,https://www.immaculatebaking.com,Sweets,Mountains,Henderson
150,Karen & Nancy Homemade Goodies,210 Surrey Path Ct,Winston-Salem,336-251-9690,karenandnancy@aol.com,,Snacks,Piedmont,Forsyth
151,Local Cookie,111 Woods Walk Ct,Carrboro,415-297-4529,info@localcookie.net,,Sweets,Piedmont,Orange
152,Lorelines,152 Pine Rd,Hurdle Mills,336-330-0103,jennifer@ncpraline.com,,Sweets,Piedmont,Person
153,Mrs. Hanes Moravian Cookies,4643 Friedberg Church Rd,Clemmons,888-764-1402,hanes@hanescookies.com,https://www.hanescookies.com,Sweets,Piedmont,Davidson
154,B & G Pie Company,895 Northwest Blvd,Winston-Salem,336-345-7147,,,Sweets,Piedmont,Forsyth
155,Sugar Island Bakery & Supplies,206 N Topsail Dr,Surf City,910-254-1110,sugarislandnc@gmail.com,https://www.sugarislandnc.com,Bakery,Tidewater,Pender
156,Dolci Di Maria,410 Eastside Dr Unit 410,Black Mountain,828-669-8787,mary@dolcidimaria.com,https://www.dolcidimaria.com,Sweets,Mountains,Buncombe
157,Double M Bake Shop,302 Riggsbee Farm Dr,Cary,919-481-4613,mcmoyer58@gmail.com,https://www.doublembakeshop.com,Bakery,Piedmont,Wake
158,Aunt Ruby's Peanuts,200 Halifax St,Enfield,252-445-3131,info@aunrubyspeanuts.com,https://www.auntrubyspeanuts.com,Snacks,Coastal Plains,Halifax
159,Bakers' Southern Traditions,101 Baker Rd,Roxobel,252-344-2352,dannib@gate811.net,https://www.bakerspeanuts.com,Snacks,Coastal Plains,Bertie
160,Berry Towne Crafts,400 Old Smithfield Rd,Goldsboro,919-581-4551,charles.spiron@dhhs.nc.gov,https://www.berrytowncrafts.com,Health & Beauty,Coastal Plains,Wayne
161,Bertie County Peanuts,217 US 13N,Windsor,252-794-2909,peanuts@eastcarolina.com,https://www.pnuts.net,Snacks,Coastal Plains,Bertie
162,J & S Candies,,Fayetteville,910-491-2424,y3johnson@earthlink.net,https://www.jandscandies.etsy.com,Sweets,Coastal Plains,Cumberland
163,Five Points Baking Company,PO Box 17355,Raleigh,919-349-2033,hello@fivepointsbakingco.com,https://www.fivepointsbakingco.com,Bakery,Piedmont,Wake
164,Huntington Kitchen,3344 Harden Rd,Raleigh,919-422-4248,jen@huntingtonkitchen.com,https://www.huntingtonkitchen.com,Snacks,Piedmont,Wake
165,Münki Food Company,12 Beaver Point Park,Asheville,828-318-3732,evolve@munkifoodcompany.com,https://www.munkifoodcompany.com,Snacks,Mountains,Buncombe
166,Big Boss Baking,114 St Andrews Dr,High Point,336-345-1161,lavinia@bigbossbaking.com,https://www.bigbossbaking.com,Bakery,Piedmont,Davidson
167,Modern Muffin,5931 Marsailles Ct,Charlotte,704-542-8369,claire@modernmuffin.com,https://www.modernmuffin.com,Bakery,Piedmont,Mecklenburg
168,Nature's Kandy,12 Village East Ct,Asheville,954-655-3133,natureskandy1@gmail.com,,Sweets,Mountains,Buncombe
169,Butterfields,2155 S Old Franklin Rd,Nashville,252-459-2577,dena@butterfieldscandies.com,https://www.butterfieldscandies.com,Sweets,Coastal Plains,Nash
170,Heritage Farms Cheshire Pork,145 Arrington Bridge Rd,Goldsboro,888-983-2494,info@cheshirepork.com,https://www.heritagefarmsgeneralstore.com,Meat,Coastal Plains,Wayne
171,Whispering Dove Ranch & Apiary,689 Harris Creek Rd,Jacksonville,910-455-7123,info@whisperingdoveranch.com,https://www.whisperingdoveranch.com,Dairy,Tidewater,Onslow
172,Num Num Sauce,1301K Odyssey Dr,Durham,919-610-2551,mlloyd@numnumsaunce.com,https://www.numnumsauce.com,Condiments,Piedmont,Durham
173,Apex Food Company,1821 Grande Maison Dr,Apex,919-800-8011,saan@apexfoodcompany.com,https://www.apexfoodcompany.com,Condiments,Piedmont,Wake
174,Bare Foods Inc,774 Buckland Dr,Fayetteville,910-494-7884,dicarroll@aol.com,https://www.barefoodsinc.net,Condiments,Coastal Plains,Cumberland
175,Berry Brothers,9660-138 Falls of Neuse Rd #228,Raleigh,919-946-9780,adam@berrybrothersnc.com,https://www.berrybrothersbbq.com,Condiments,Piedmont,Wake
176,"Carolina Treet, Inc",PO Box 1017,Wilmington,800-616-6344,lking@carolinatreet.com,https://www.carolinatreet.com,Condiments,Tidewater,New Hanover
177,Round Mountain Creamery,2203 Old Ford Rd,Black Mountain,828-669-0718,las@rmcreamery.com,https://www.roundmountaincreamery.com,Dairy,Mountains,Buncombe
178,Cottage Lane Kitchen,PO Box 592,Chapel Hill,,info@cottagelanekitchen.com,https://www.cottagelanekitchen.com,Condiments,Piedmont,Orange
179,Catamount Honey,PO Box 2530,Cullowhee,828-293-3142,al.mcneely@gmail.com,,Condiments,Mountains,Jackson
180,Bailey Farms,PO Box 99471,Raleigh,919-424-1866 x703,jed@bigandfine.com,https://www.theshizzlesauce.com,Condiments,Piedmont,Wake
181,Gamms,212 Rivermade Dr,Archdale,,xraysherri7474@gmail.com,https://www.cookingwithgamms.com,Condiments,Piedmont,Randolph
182,L & E Associates,PO Box 4239,Archdale,336-870-0030,eric-henderson@triad.rr.com,https://www.bigdaddycooks.com,Condiments,Piedmont,Randolph
183,Masonboro Marinade,PO Box 3693,Wilmington,910-297-1405,info@masonboromarinade.com,,Condiments,Tidewater,New Hanover
